topic_id,topic_abbr,standard_id
1,data_science,
2,setup,
3,data_fundamentals,16
3,data_fundamentals,4
4,summarizing,1
5,learning_code_lab,1
6,grammar_graphics,14
6,grammar_graphics,13
7,viz_conventions,13
7,viz_conventions,14
8,designing_graphics_lab,13
8,designing_graphics_lab,14
9,frequency_Plots,9
10,boxplots,10
11,multivariate_lab,10
12,github,2
13,github2,2
14,recap1,
15,no_class1,
16,exploratory,6
16,exploratory,5
17,exploratory_lab,5
17,exploratory_lab,6
18,wrangling_review,5
18,wrangling_review,6
19,joining,8
20,joining_lab,8
21,tidying,17
22,pivoting,7
23,pivoting_lab,7
24,functions,18
25,iteration,3
26,coding_lab,18
26,coding_lab,3
27,apis,15
28,apis_lab,15
29,recap2,
30,projections,11
31,leaflet,11
32,leaflet_lab,11
33,recap3,
34,no_class2,
35,no_class3,
36,chloropleth,12
37,map_critiques,12
38,how_lie_lab,12
39,spatial_comp,
40,final1,
41,final2,
42,conclusion,